Resultado do metodo de Runge-Kutta:
x = 0.00, y = [1.0, 0.0]
x = 0.10, y = [0.995004166666667, -0.0998333333333333]
x = 0.20, y = [0.980066597239583, -0.198669165277778]
x = 0.30, y = [0.955336542863976, -0.295519962530663]
x = 0.40, y = [0.921061097792607, -0.389418025580440]
x = 0.50, y = [0.877582730504437, -0.479425157623940]
x = 0.60, y = [0.825335861877169, -0.564642038702670]
x = 0.70, y = [0.764842524603391, -0.644217211395055]
x = 0.80, y = [0.696707147219953, -0.717355588282699]
x = 0.90, y = [0.621610514866744, -0.783326396187029]
x = 1.00, y = [0.540302967116884, -0.841470477800274]
x = 1.10, y = [0.453596900843268, -0.891206877755433]
x = 1.20, y = [0.362358653030222, -0.932038647329499]
x = 1.30, y = [0.267499844634397, -0.963557809781399]
x = 1.40, y = [0.169968271984067, -0.985449436712700]
x = 1.50, y = [0.0707384367267958, -0.997494794721532]
x = 1.60, y = [-0.0291981910530514, -0.999573530909461]
x = 1.70, y = [-0.128843079259377, -0.991664875404496]
x = 1.80, y = [-0.227200610770459, -0.973847848885060]
x = 1.90, y = [-0.323288031299510, -0.946300473031421]
x = 2.00, y = [-0.416145268734113, -0.909297991793501]
x = 2.10, y = [-0.504844525843113, -0.863210121247543]
x = 2.20, y = [-0.588499550503969, -0.808497355520140]
x = 2.30, y = [-0.666274490825670, -0.745706365689541]
x = 2.40, y = [-0.737392246689926, -0.675464537636854]
x = 2.50, y = [-0.801142234264917, -0.598473703423033]
x = 2.60, y = [-0.856887485911301, -0.515503128825568]
x = 2.70, y = [-0.904071014540688, -0.427381827100998]
x = 2.80, y = [-0.942221378836128, -0.334990275771461]
x = 2.90, y = [-0.970957393728877, -0.239251619198279]
x = 3.00, y = [-0.989991939066001, -0.141122444843435]
x = 3.10, y = [-0.999134828413954, -0.0415832253793154]
x = 3.20, y = [-0.998294709334037, 0.0583714778541351]
x = 3.30, y = [-0.987479976142885, 0.157742952161204]
x = 3.40, y = [-0.966798686037978, 0.255538312280963]
x = 3.50, y = [-0.936457479426263, 0.350780420951984]
x = 3.60, y = [-0.896759515243590, 0.442517652128367]
x = 3.70, y = [-0.848101441894537, 0.529833399296427]
x = 3.80, y = [-0.790969434077979, 0.611855233888247]
x = 3.90, y = [-0.725934335097054, 0.687763622284398]
x = 4.00, y = [-0.653645953189906, 0.756800114308592]
x = 4.10, y = [-0.574826568870287, 0.818274921397651]
x = 4.20, y = [-0.490263718150441, 0.871573808728385]
x = 4.30, y = [-0.400802323753797, 0.916164232437632]
x = 4.40, y = [-0.307336252939687, 0.951600660614500]
x = 4.50, y = [-0.210799386291361, 0.977529024899325]
x = 4.60, y = [-0.112156286704898, 0.993690258210520]
x = 4.70, y = [-0.0123925618112178, 0.999922883251582]
x = 4.80, y = [0.0874949838734470, 0.996164625934824]
x = 4.90, y = [0.186508308672339, 0.982453037601059]
x = 5.00, y = [0.283658105834103, 0.958925119818255]
x = 5.10, y = [0.377973688342229, 0.925815955508059]
x = 5.20, y = [0.468512687682440, 0.883456360077501]
x = 5.30, y = [0.554370469661297, 0.832269576024983]
x = 5.40, y = [0.634689173196442, 0.772767044046905]
x = 5.50, y = [0.708666281766031, 0.705543292898576]
x = 5.60, y = [0.775562641874416, 0.631269999068162]
x = 5.70, y = [0.834709848416356, 0.550689275617355]
x = 5.80, y = [0.885516923147776, 0.464606257244350]
x = 5.90, y = [0.927476219534111, 0.373881055656614]
x = 6.00, y = [0.960168494977074, 0.279420165632574]
x = 6.10, y = [0.983267099739903, 0.182167407639890]
x = 6.20, y = [0.996541240716834, 0.0830944975085221]
x = 6.30, y = [0.999858287436354, -0.0168086626168448]
x = 6.40, y = [0.993185097257455, -0.116543875035584]
x = 6.50, y = [0.976588346518020, -0.215114620136088]
x = 6.60, y = [0.950233864326621, -0.311536013273707]
x = 6.70, y = [0.914384975654264, -0.404844645396002]
x = 6.80, y = [0.869399870281357, -0.494108209091195]
x = 6.90, y = [0.815728023888473, -0.578434813879699]
x = 7.00, y = [0.753905707050140, -0.656981897673558]
x = 7.10, y = [0.684550627004258, -0.728964645363603]
x = 7.20, y = [0.608355755734717, -0.793663830418732]
x = 7.30, y = [0.526082406034888, -0.850433001146781]
x = 7.40, y = [0.438552624733585, -0.898704939814368]
x = 7.50, y = [0.346640979087720, -0.937997330088449]
x = 7.60, y = [0.251265818409197, -0.967917576172472]
x = 7.70, y = [0.153380098236843, -0.988166725486029]
x = 7.80, y = [0.0539618587350458, -0.998542455693933]
x = 7.90, y = [-0.0459955475443290, -0.998941096239411]
x = 8.00, y = [-0.145493380895957, -0.989358664182939]
x = 8.10, y = [-0.243537493521494, -0.969890903997012]
x = 8.20, y = [-0.339148262709145, -0.940732330919231]
x = 8.30, y = [-0.431370378883463, -0.902174287422218]
x = 8.40, y = [-0.519282390726610, -0.854602032219438]
x = 8.50, y = [-0.602005911999512, -0.798490890892602]
x = 8.60, y = [-0.678714398071592, -0.734401506602233]
x = 8.70, y = [-0.748641404467016, -0.662974238334686]
x = 8.80, y = [-0.811088244910946, -0.584922762656382]
x = 8.90, y = [-0.865430972359273, -0.501026942904335]
x = 9.00, y = [-0.911126613259811, -0.412125037061541]
x = 9.10, y = [-0.947718592754378, -0.319105322173450]
x = 9.20, y = [-0.974841296615059, -0.222897218991446]
x = 9.30, y = [-0.992223724333365, -0.124462005522831]
x = 9.40, y = [-0.999692196861913, -0.0247832122742925]
x = 9.50, y = [-0.997172091953807, 0.0751432048437420]
x = 9.60, y = [-0.984688589760854, 0.174318815762932]
x = 9.70, y = [-0.962366421240841, 0.271752692223642]
x = 9.80, y = [-0.930428621887732, 0.366471308785952]
x = 9.90, y = [-0.889194303237087, 0.457528269957600]
x = 10.00, y = [-0.839075464413064, 0.544013766248773]
x = 10.10, y = [-0.780572875574932, 0.625063664672126]
